Country	Referenced Country	Percentage
algeria	north macedonia	0.0
algeria	norway	0.6802721088435374
algeria	oman	0.0
algeria	pakistan	0.0
algeria	palestinian territory	0.0
algeria	panama	0.0
algeria	paraguay	0.0
algeria	peru	0.0
algeria	philippines	0.0
algeria	poland	0.6802721088435374
algeria	portugal	0.0
algeria	qatar	8.16326530612245
algeria	reunion	0.0
algeria	romania	0.6802721088435374
algeria	russia	0.6802721088435374
algeria	rwanda	0.0
algeria	saint martin	0.0
algeria	saudi arabia	0.0
algeria	senegal	0.0
algeria	serbia	0.0
algeria	singapore	2.0408163265306123
algeria	slovakia	0.0
algeria	slovenia	0.0
algeria	south africa	0.0
algeria	spain	0.6802721088435374
algeria	sri lanka	0.0
algeria	sweden	2.7210884353741496
algeria	switzerland	1.3605442176870748
algeria	syria	0.0
algeria	taiwan	0.0
algeria	thailand	0.0
algeria	togo	0.0
algeria	tunisia	3.401360544217687
algeria	turkey	0.6802721088435374
algeria	uganda	0.0
algeria	ukraine	0.0
algeria	united arab emirates	4.081632653061225
algeria	united kingdom	7.482993197278912
algeria	united states	17.006802721088434
algeria	uruguay	0.0
algeria	uzbekistan	0.0
algeria	vietnam	0.0
algeria	yemen	0.0
algeria	zambia	0.0
algeria	zimbabwe	0.0
anguilla	algeria	0.0
anguilla	anguilla	0.0
anguilla	argentina	0.0
anguilla	armenia	0.0
anguilla	australia	0.0
anguilla	austria	0.0
anguilla	azerbaijan	0.0
anguilla	bahrain	0.0
anguilla	bangladesh	0.0
anguilla	belarus	0.0
anguilla	belgium	0.0
anguilla	bosnia and herzegovina	0.0
anguilla	botswana	0.0
anguilla	brazil	0.0
anguilla	brunei	0.0
anguilla	bulgaria	0.0
anguilla	burkina faso	0.0
anguilla	cambodia	0.0
anguilla	cameroon	0.0
anguilla	canada	0.0
anguilla	cape verde	0.0
anguilla	chile	0.0
anguilla	china	0.0
anguilla	colombia	0.0
anguilla	costa rica	0.0
anguilla	croatia	0.0
anguilla	cuba	0.0
anguilla	cyprus	0.0
anguilla	czech republic	0.0
anguilla	czechia	0.0
anguilla	denmark	0.0
anguilla	djibouti	0.0
anguilla	ecuador	0.0
anguilla	egypt	0.0
anguilla	equatorial guinea	0.0
anguilla	estonia	0.0
anguilla	ethiopia	0.0
anguilla	fiji	0.0
anguilla	finland	0.0
anguilla	france	0.0
anguilla	gabon	0.0
anguilla	germany	0.0
anguilla	ghana	0.0
anguilla	greece	0.0
anguilla	guadeloupe	0.0
anguilla	guatemala	0.0
anguilla	guinea	0.0
anguilla	haiti	0.0
anguilla	hong kong	0.0
anguilla	hungary	0.0
anguilla	iceland	0.0
anguilla	india	0.0
anguilla	indonesia	0.0
anguilla	iran	0.0
anguilla	iraq	0.0
anguilla	ireland	0.0
anguilla	israel	0.0
anguilla	italy	0.0
anguilla	jamaica	0.0
anguilla	japan	0.0
anguilla	jersey	0.0
anguilla	jordan	0.0
anguilla	kazakhstan	0.0
anguilla	kenya	0.0
anguilla	korea	0.0
anguilla	kosovo	0.0
anguilla	kuwait	0.0
anguilla	kyrgyzstan	0.0
anguilla	latvia	0.0
anguilla	lebanon	0.0
anguilla	libya	0.0
anguilla	lithuania	0.0
anguilla	luxembourg	0.0
anguilla	macau	0.0
anguilla	macedonia	0.0
anguilla	malaysia	0.0
anguilla	malta	0.0
anguilla	mauritius	0.0
anguilla	mexico	0.0
anguilla	moldova	0.0
anguilla	mongolia	0.0
anguilla	morocco	0.0
anguilla	myanmar	0.0
anguilla	namibia	0.0
anguilla	nepal	0.0
anguilla	netherlands	0.0
anguilla	new zealand	0.0
anguilla	niger	0.0
anguilla	nigeria	0.0
anguilla	north macedonia	0.0
anguilla	norway	0.0
anguilla	oman	0.0
anguilla	pakistan	0.0
anguilla	palestinian territory	0.0
anguilla	panama	0.0
anguilla	paraguay	0.0
anguilla	peru	0.0
anguilla	philippines	0.0
anguilla	poland	0.0
anguilla	portugal	0.0
anguilla	qatar	0.0
anguilla	reunion	0.0
anguilla	romania	0.0
anguilla	russia	0.0
anguilla	rwanda	0.0
anguilla	saint martin	0.0
anguilla	saudi arabia	0.0
anguilla	senegal	0.0
anguilla	serbia	0.0
anguilla	singapore	0.0
anguilla	slovakia	0.0
anguilla	slovenia	0.0
anguilla	south africa	0.0
anguilla	spain	0.0
anguilla	sri lanka	0.0
anguilla	sweden	0.0
anguilla	switzerland	0.0
anguilla	syria	0.0
anguilla	taiwan	0.0
anguilla	thailand	0.0
anguilla	togo	0.0
anguilla	tunisia	0.0
anguilla	turkey	0.0
anguilla	uganda	0.0
anguilla	ukraine	0.0
anguilla	united arab emirates	0.0
anguilla	united kingdom	0.0
anguilla	united states	0.0
anguilla	uruguay	0.0
anguilla	uzbekistan	0.0
anguilla	vietnam	0.0
anguilla	yemen	0.0
anguilla	zambia	0.0
anguilla	zimbabwe	0.0
argentina	algeria	0.0
argentina	anguilla	0.0
argentina	argentina	7.421875
argentina	armenia	0.0
argentina	australia	6.25
argentina	austria	0.0
argentina	azerbaijan	0.0
argentina	bahrain	0.0
argentina	bangladesh	0.0
argentina	belarus	0.0
argentina	belgium	0.78125
argentina	bosnia and herzegovina	0.0
argentina	botswana	0.0
argentina	brazil	0.78125
argentina	brunei	0.0
argentina	bulgaria	0.0
argentina	burkina faso	0.0
argentina	cambodia	0.0
argentina	cameroon	0.0
argentina	canada	5.859375
argentina	cape verde	0.0
argentina	chile	0.0
argentina	china	1.953125
argentina	colombia	0.0
argentina	costa rica	0.390625
argentina	croatia	0.0
argentina	cuba	0.0
argentina	cyprus	0.0
argentina	czech republic	0.0
argentina	czechia	0.390625
argentina	denmark	1.171875
argentina	djibouti	0.0
argentina	ecuador	0.0
argentina	egypt	0.0
argentina	equatorial guinea	0.0
argentina	estonia	0.0
argentina	ethiopia	0.0
argentina	fiji	0.0
argentina	finland	0.390625
argentina	france	7.421875
argentina	gabon	0.0
argentina	germany	8.984375
argentina	ghana	0.0
argentina	greece	0.390625
argentina	guadeloupe	0.0
argentina	guatemala	0.0
argentina	guinea	0.0
argentina	haiti	0.0
argentina	hong kong	0.78125
argentina	hungary	0.0
argentina	iceland	0.0
argentina	india	0.78125
argentina	indonesia	0.0
argentina	iran	0.0
argentina	iraq	0.0
argentina	ireland	2.34375
argentina	israel	1.5625
argentina	italy	3.515625
argentina	jamaica	0.0
argentina	japan	2.734375
argentina	jersey	0.0
argentina	jordan	0.78125
argentina	kazakhstan	0.0
argentina	kenya	0.0
argentina	korea	0.78125
argentina	kosovo	0.0
argentina	kuwait	0.0
argentina	kyrgyzstan	0.0
argentina	latvia	0.0
argentina	lebanon	0.0
argentina	libya	0.0
argentina	lithuania	0.0
argentina	luxembourg	0.0
argentina	macau	0.0
argentina	macedonia	0.0
argentina	malaysia	0.0
argentina	malta	0.0
argentina	mauritius	0.0
argentina	mexico	0.0
argentina	moldova	0.0
argentina	mongolia	0.0
argentina	morocco	0.0
argentina	myanmar	0.0
argentina	namibia	0.0
argentina	nepal	0.0
argentina	netherlands	2.34375
argentina	new zealand	0.0
argentina	niger	0.0
argentina	nigeria	0.0
argentina	north macedonia	0.0
argentina	norway	0.390625
argentina	oman	0.0
argentina	pakistan	0.0
argentina	palestinian territory	0.0
argentina	panama	0.0
argentina	paraguay	0.0
argentina	peru	0.0
argentina	philippines	0.0
argentina	poland	0.390625
argentina	portugal	0.390625
argentina	qatar	0.0
argentina	reunion	0.0
argentina	romania	0.0
argentina	russia	0.0
argentina	rwanda	0.0
argentina	saint martin	0.0
argentina	saudi arabia	0.0
argentina	senegal	0.0
argentina	serbia	0.0
argentina	singapore	1.171875
argentina	slovakia	0.390625
argentina	slovenia	0.390625
argentina	south africa	0.0
argentina	spain	3.125
argentina	sri lanka	0.0
argentina	sweden	1.171875
argentina	switzerland	2.734375
argentina	syria	0.0
argentina	taiwan	0.390625
argentina	thailand	0.0
argentina	togo	0.0
argentina	tunisia	0.0
argentina	turkey	0.0
argentina	uganda	0.0
argentina	ukraine	0.0
argentina	united arab emirates	0.0
argentina	united kingdom	12.5
argentina	united states	19.140625
argentina	uruguay	0.0
argentina	uzbekistan	0.0
argentina	vietnam	0.0
argentina	yemen	0.0
argentina	zambia	0.0
argentina	zimbabwe	0.0
armenia	algeria	0.0
armenia	anguilla	0.0
armenia	argentina	0.0
armenia	armenia	0.0
armenia	australia	7.142857142857143
armenia	austria	0.0
armenia	azerbaijan	0.0
armenia	bahrain	0.0
armenia	bangladesh	0.0
armenia	belarus	0.0
armenia	belgium	0.0
armenia	bosnia and herzegovina	0.0
armenia	botswana	0.0
armenia	brazil	0.0
armenia	brunei	0.0
armenia	bulgaria	0.0
armenia	burkina faso	0.0
armenia	cambodia	0.0
armenia	cameroon	0.0
armenia	canada	3.5714285714285716
armenia	cape verde	0.0
armenia	chile	0.0
armenia	china	3.5714285714285716
armenia	colombia	0.0
armenia	costa rica	0.0
armenia	croatia	0.0
armenia	cuba	0.0
armenia	cyprus	0.0
armenia	czech republic	0.0
armenia	czechia	0.0
armenia	denmark	3.5714285714285716
armenia	djibouti	0.0
armenia	ecuador	0.0
armenia	egypt	0.0
armenia	equatorial guinea	0.0
armenia	estonia	0.0
armenia	ethiopia	0.0
armenia	fiji	0.0
armenia	finland	0.0
armenia	france	10.714285714285714
armenia	gabon	0.0
armenia	germany	14.285714285714286
armenia	ghana	0.0
armenia	greece	0.0
armenia	guadeloupe	0.0
armenia	guatemala	0.0
armenia	guinea	0.0
armenia	haiti	0.0
armenia	hong kong	3.5714285714285716
armenia	hungary	0.0
armenia	iceland	0.0
armenia	india	0.0
armenia	indonesia	0.0
armenia	iran	0.0
armenia	iraq	0.0
armenia	ireland	3.5714285714285716
armenia	israel	3.5714285714285716
armenia	italy	0.0
armenia	jamaica	0.0
armenia	japan	7.142857142857143
armenia	jersey	0.0
armenia	jordan	0.0
armenia	kazakhstan	0.0
armenia	kenya	0.0
armenia	korea	0.0
armenia	kosovo	0.0
armenia	kuwait	0.0
armenia	kyrgyzstan	0.0
armenia	latvia	0.0
armenia	lebanon	0.0
armenia	libya	0.0
armenia	lithuania	0.0
armenia	luxembourg	0.0
armenia	macau	0.0
armenia	macedonia	0.0
armenia	malaysia	0.0
armenia	malta	0.0
armenia	mauritius	0.0
armenia	mexico	0.0
armenia	moldova	0.0
armenia	mongolia	0.0
armenia	morocco	0.0
armenia	myanmar	0.0
armenia	namibia	0.0
armenia	nepal	0.0
armenia	netherlands	0.0
armenia	new zealand	0.0
armenia	niger	0.0
armenia	nigeria	0.0
armenia	north macedonia	0.0
armenia	norway	0.0
armenia	oman	0.0
armenia	pakistan	0.0
armenia	palestinian territory	0.0
armenia	panama	0.0
armenia	paraguay	0.0
armenia	peru	0.0
armenia	philippines	0.0
armenia	poland	0.0
armenia	portugal	0.0
armenia	qatar	0.0
armenia	reunion	0.0
armenia	romania	0.0
armenia	russia	0.0
armenia	rwanda	0.0
armenia	saint martin	0.0
armenia	saudi arabia	0.0
armenia	senegal	0.0
armenia	serbia	0.0
armenia	singapore	3.5714285714285716
armenia	slovakia	0.0
armenia	slovenia	0.0
armenia	south africa	0.0
armenia	spain	3.5714285714285716
armenia	sri lanka	0.0
armenia	sweden	0.0
armenia	switzerland	0.0
armenia	syria	0.0
armenia	taiwan	3.5714285714285716
armenia	thailand	0.0
armenia	togo	0.0
armenia	tunisia	0.0
armenia	turkey	0.0
armenia	uganda	0.0
armenia	ukraine	0.0
armenia	united arab emirates	0.0
armenia	united kingdom	14.285714285714286
armenia	united states	14.285714285714286
armenia	uruguay	0.0
armenia	uzbekistan	0.0
armenia	vietnam	0.0
armenia	yemen	0.0
armenia	zambia	0.0
armenia	zimbabwe	0.0
australia	algeria	0.0
australia	anguilla	0.0
australia	argentina	0.07472445357743321
australia	armenia	0.018681113394358302
australia	australia	12.292172613487764
australia	austria	0.09340556697179152
australia	azerbaijan	0.0
australia	bahrain	0.018681113394358302
australia	bangladesh	0.018681113394358302
australia	belarus	0.0
australia	belgium	0.672520082196899
australia	bosnia and herzegovina	0.0
australia	botswana	0.0
australia	brazil	0.5417522884363908
australia	brunei	0.0
australia	bulgaria	0.09340556697179152
australia	burkina faso	0.0
australia	cambodia	0.0
australia	cameroon	0.0
australia	canada	5.436203997758266
australia	cape verde	0.0
australia	chile	0.0
australia	china	5.454885111152625
australia	colombia	0.018681113394358302
australia	costa rica	0.018681113394358302
australia	croatia	0.3175789277040912
australia	cuba	0.0
australia	cyprus	0.0
australia	czech republic	0.6351578554081824
australia	czechia	0.037362226788716604
australia	denmark	0.859331216140482
australia	djibouti	0.0
australia	ecuador	0.0
australia	egypt	0.26153558752101624
australia	equatorial guinea	0.0
australia	estonia	0.13076779376050812
australia	ethiopia	0.0
australia	fiji	0.07472445357743321
australia	finland	0.5977956286194657
australia	france	3.08238371006912
australia	gabon	0.0
australia	germany	8.032878759574071
australia	ghana	0.0
australia	greece	0.3549411544928078
australia	guadeloupe	0.0
australia	guatemala	0.0
australia	guinea	0.0
australia	haiti	0.0
australia	hong kong	0.803287875957407
australia	hungary	0.07472445357743321
australia	iceland	0.037362226788716604
australia	india	1.7373435456753223
australia	indonesia	0.16813002054922474
australia	iran	0.11208668036614983
australia	iraq	0.0
australia	ireland	2.0175602465906968
australia	israel	2.6153558752101627
australia	italy	2.3164580609004295
australia	jamaica	0.0
australia	japan	4.9504950495049505
australia	jersey	0.4670278348589576
australia	jordan	0.14944890715486642
australia	kazakhstan	0.018681113394358302
australia	kenya	0.0
australia	korea	0.5230711750420325
australia	kosovo	0.0
australia	kuwait	0.018681113394358302
australia	kyrgyzstan	0.0
australia	latvia	0.07472445357743321
australia	lebanon	0.0
australia	libya	0.0
australia	lithuania	0.0
australia	luxembourg	0.0
australia	macau	0.09340556697179152
australia	macedonia	0.0
australia	malaysia	0.07472445357743321
australia	malta	0.0
australia	mauritius	0.0
australia	mexico	0.14944890715486642
australia	moldova	0.037362226788716604
australia	mongolia	0.0
australia	morocco	0.018681113394358302
australia	myanmar	0.0
australia	namibia	0.0
australia	nepal	0.0
australia	netherlands	1.6999813188866058
australia	new zealand	0.14944890715486642
australia	niger	0.0
australia	nigeria	0.018681113394358302
australia	north macedonia	0.0
australia	norway	0.6538389688025407
australia	oman	0.0
australia	pakistan	0.07472445357743321
australia	palestinian territory	0.0
australia	panama	0.018681113394358302
australia	paraguay	0.0
australia	peru	0.037362226788716604
australia	philippines	0.0
australia	poland	0.3175789277040912
australia	portugal	0.7472445357743321
australia	qatar	0.8219689893517653
australia	reunion	0.0
australia	romania	0.4857089482533159
australia	russia	0.5604334018307491
australia	rwanda	0.0
australia	saint martin	0.0
australia	saudi arabia	0.018681113394358302
australia	senegal	0.0
australia	serbia	0.0
australia	singapore	2.3911825144778627
australia	slovakia	0.0
australia	slovenia	0.20549224733794133
australia	south africa	0.0
australia	spain	1.5505324117317392
australia	sri lanka	0.037362226788716604
australia	sweden	1.662619092097889
australia	switzerland	1.0835045768727816
australia	syria	0.0
australia	taiwan	0.6538389688025407
australia	thailand	0.09340556697179152
australia	togo	0.0
australia	tunisia	0.05604334018307491
australia	turkey	0.3175789277040912
australia	uganda	0.0
australia	ukraine	0.0
australia	united arab emirates	0.18681113394358304
australia	united kingdom	11.67569587147394
australia	united states	18.569026713992155
australia	uruguay	0.018681113394358302
australia	uzbekistan	0.0
australia	vietnam	0.29889781430973283
australia	yemen	0.0
australia	zambia	0.0
australia	zimbabwe	0.0
austria	algeria	0.0
austria	anguilla	0.0
austria	argentina	0.0
austria	armenia	0.0
austria	australia	2.962962962962963
austria	austria	7.222222222222222
austria	azerbaijan	0.0
austria	bahrain	0.0
austria	bangladesh	0.0
austria	belarus	0.0
austria	belgium	1.2962962962962963
austria	bosnia and herzegovina	0.0
austria	botswana	0.0
austria	brazil	0.18518518518518517
austria	brunei	0.0
austria	bulgaria	0.0
austria	burkina faso	0.0
austria	cambodia	0.0
austria	cameroon	0.0
austria	canada	2.5925925925925926
austria	cape verde	0.0
austria	chile	0.0
austria	china	3.7037037037037037
austria	colombia	0.18518518518518517
austria	costa rica	0.0
austria	croatia	0.7407407407407407
austria	cuba	0.0
austria	cyprus	0.0
austria	czech republic	0.18518518518518517
austria	czechia	0.0
austria	denmark	0.5555555555555556
austria	djibouti	0.0
austria	ecuador	0.0
austria	egypt	0.0
austria	equatorial guinea	0.0
austria	estonia	0.0
austria	ethiopia	0.0
austria	fiji	0.0
austria	finland	0.7407407407407407
austria	france	3.888888888888889
austria	gabon	0.0
austria	germany	13.148148148148149
austria	ghana	0.0
austria	greece	1.8518518518518519
austria	guadeloupe	0.0
austria	guatemala	0.0
austria	guinea	0.0
austria	haiti	0.0
austria	hong kong	0.0
austria	hungary	0.18518518518518517
austria	iceland	0.18518518518518517
austria	india	2.2222222222222223
austria	indonesia	0.0
austria	iran	0.37037037037037035
austria	iraq	0.0
austria	ireland	1.1111111111111112
austria	israel	1.8518518518518519
austria	italy	4.2592592592592595
austria	jamaica	0.0
austria	japan	3.7037037037037037
austria	jersey	0.18518518518518517
austria	jordan	0.0
austria	kazakhstan	0.0
austria	kenya	0.0
austria	korea	0.18518518518518517
austria	kosovo	0.0
austria	kuwait	0.0
austria	kyrgyzstan	0.0
austria	latvia	0.37037037037037035
austria	lebanon	0.0
austria	libya	0.0
austria	lithuania	0.0
austria	luxembourg	0.37037037037037035
austria	macau	0.0
austria	macedonia	0.0
austria	malaysia	0.0
austria	malta	0.18518518518518517
austria	mauritius	0.0
austria	mexico	0.37037037037037035
austria	moldova	0.0
austria	mongolia	0.0
austria	morocco	0.0
austria	myanmar	0.0
austria	namibia	0.0
austria	nepal	0.0
austria	netherlands	3.1481481481481484
austria	new zealand	0.18518518518518517
austria	niger	0.0
austria	nigeria	0.0
austria	north macedonia	0.0
austria	norway	0.37037037037037035
austria	oman	0.0
austria	pakistan	0.0
austria	palestinian territory	0.18518518518518517
austria	panama	0.0
austria	paraguay	0.0
austria	peru	0.0
austria	philippines	0.0
austria	poland	0.37037037037037035
austria	portugal	0.5555555555555556
austria	qatar	1.8518518518518519
austria	reunion	0.0
austria	romania	0.18518518518518517
austria	russia	0.9259259259259259
austria	rwanda	0.0
austria	saint martin	0.0
austria	saudi arabia	0.0
austria	senegal	0.0
austria	serbia	0.0
austria	singapore	1.6666666666666667
austria	slovakia	0.0
austria	slovenia	0.7407407407407407
austria	south africa	0.0
austria	spain	2.7777777777777777
austria	sri lanka	0.0
austria	sweden	2.037037037037037
austria	switzerland	1.6666666666666667
austria	syria	0.0
austria	taiwan	0.5555555555555556
austria	thailand	0.0
austria	togo	0.0
austria	tunisia	0.0
austria	turkey	0.37037037037037035
austria	uganda	0.0
austria	ukraine	0.0
austria	united arab emirates	0.0
austria	united kingdom	9.62962962962963
austria	united states	17.22222222222222
austria	uruguay	0.18518518518518517
austria	uzbekistan	0.0
austria	vietnam	0.5555555555555556
austria	yemen	0.0
austria	zambia	0.0
austria	zimbabwe	0.0
azerbaijan	algeria	0.0
azerbaijan	anguilla	0.0
azerbaijan	argentina	0.0
azerbaijan	armenia	0.0
azerbaijan	australia	0.0
azerbaijan	austria	0.0
azerbaijan	azerbaijan	0.0
azerbaijan	bahrain	0.0
azerbaijan	bangladesh	0.0
azerbaijan	belarus	0.0
azerbaijan	belgium	0.0
azerbaijan	bosnia and herzegovina	0.0
azerbaijan	botswana	0.0
azerbaijan	brazil	0.0
azerbaijan	brunei	0.0
azerbaijan	bulgaria	0.0
azerbaijan	burkina faso	0.0
azerbaijan	cambodia	0.0
azerbaijan	cameroon	0.0
azerbaijan	canada	0.0
azerbaijan	cape verde	0.0
azerbaijan	chile	0.0
azerbaijan	china	0.0
azerbaijan	colombia	0.0
azerbaijan	costa rica	0.0
azerbaijan	croatia	0.0
azerbaijan	cuba	0.0
azerbaijan	cyprus	0.0
azerbaijan	czech republic	0.0
azerbaijan	czechia	0.0
azerbaijan	denmark	0.0
azerbaijan	djibouti	0.0
azerbaijan	ecuador	0.0
azerbaijan	egypt	0.0
azerbaijan	equatorial guinea	0.0
azerbaijan	estonia	0.0
azerbaijan	ethiopia	0.0
azerbaijan	fiji	0.0
azerbaijan	finland	0.0
azerbaijan	france	0.0
azerbaijan	gabon	0.0
azerbaijan	germany	0.0
azerbaijan	ghana	0.0
azerbaijan	greece	0.0
azerbaijan	guadeloupe	0.0
azerbaijan	guatemala	0.0
azerbaijan	guinea	0.0
azerbaijan	haiti	0.0
azerbaijan	hong kong	0.0
azerbaijan	hungary	0.0
azerbaijan	iceland	0.0
azerbaijan	india	0.0
azerbaijan	indonesia	0.0
azerbaijan	iran	0.0
azerbaijan	iraq	0.0
azerbaijan	ireland	0.0
azerbaijan	israel	0.0
azerbaijan	italy	33.333333333333336
azerbaijan	jamaica	0.0
azerbaijan	japan	0.0
azerbaijan	jersey	0.0
azerbaijan	jordan	0.0
azerbaijan	kazakhstan	0.0
azerbaijan	kenya	0.0
azerbaijan	korea	0.0
azerbaijan	kosovo	0.0
azerbaijan	kuwait	0.0
azerbaijan	kyrgyzstan	0.0
azerbaijan	latvia	0.0
azerbaijan	lebanon	0.0
azerbaijan	libya	0.0
azerbaijan	lithuania	0.0
azerbaijan	luxembourg	0.0
azerbaijan	macau	0.0
azerbaijan	macedonia	0.0
azerbaijan	malaysia	0.0
azerbaijan	malta	0.0
azerbaijan	mauritius	0.0
azerbaijan	mexico	0.0
azerbaijan	moldova	0.0
azerbaijan	mongolia	0.0
azerbaijan	morocco	0.0
azerbaijan	myanmar	0.0
azerbaijan	namibia	0.0
azerbaijan	nepal	0.0
azerbaijan	netherlands	0.0
azerbaijan	new zealand	0.0
azerbaijan	niger	0.0
azerbaijan	nigeria	0.0
azerbaijan	north macedonia	0.0
azerbaijan	norway	0.0
azerbaijan	oman	0.0
azerbaijan	pakistan	0.0
azerbaijan	palestinian territory	0.0
azerbaijan	panama	0.0
azerbaijan	paraguay	0.0
azerbaijan	peru	0.0
azerbaijan	philippines	0.0
azerbaijan	poland	0.0
azerbaijan	portugal	0.0
azerbaijan	qatar	0.0
azerbaijan	reunion	0.0
azerbaijan	romania	0.0
azerbaijan	russia	0.0
azerbaijan	rwanda	0.0
azerbaijan	saint martin	0.0
azerbaijan	saudi arabia	0.0
azerbaijan	senegal	0.0
azerbaijan	serbia	0.0
azerbaijan	singapore	0.0
azerbaijan	slovakia	0.0
azerbaijan	slovenia	0.0
azerbaijan	south africa	0.0
azerbaijan	spain	0.0
azerbaijan	sri lanka	0.0
azerbaijan	sweden	0.0
azerbaijan	switzerland	0.0
azerbaijan	syria	0.0
azerbaijan	taiwan	0.0
azerbaijan	thailand	0.0
azerbaijan	togo	0.0
azerbaijan	tunisia	0.0
azerbaijan	turkey	33.333333333333336
azerbaijan	uganda	0.0
azerbaijan	ukraine	0.0
azerbaijan	united arab emirates	0.0
azerbaijan	united kingdom	0.0
azerbaijan	united states	33.333333333333336
azerbaijan	uruguay	0.0
azerbaijan	uzbekistan	0.0
azerbaijan	vietnam	0.0
azerbaijan	yemen	0.0
azerbaijan	zambia	0.0
azerbaijan	zimbabwe	0.0
bahrain	algeria	5.714285714285714
bahrain	anguilla	0.0
bahrain	argentina	0.0
bahrain	armenia	0.0
bahrain	australia	0.0
bahrain	austria	0.0
bahrain	azerbaijan	0.0
bahrain	bahrain	5.714285714285714
bahrain	bangladesh	0.0
bahrain	belarus	0.0
bahrain	belgium	0.0
bahrain	bosnia and herzegovina	0.0
bahrain	botswana	0.0
bahrain	brazil	0.0
bahrain	brunei	0.0
bahrain	bulgaria	0.0
bahrain	burkina faso	0.0
bahrain	cambodia	0.0
bahrain	cameroon	0.0
bahrain	canada	2.857142857142857
bahrain	cape verde	0.0
bahrain	chile	0.0
bahrain	china	2.857142857142857
bahrain	colombia	0.0
bahrain	costa rica	0.0
bahrain	croatia	0.0
bahrain	cuba	0.0
bahrain	cyprus	0.0
bahrain	czech republic	0.0
bahrain	czechia	0.0
bahrain	denmark	0.0
bahrain	djibouti	0.0
bahrain	ecuador	0.0
bahrain	egypt	0.0
bahrain	equatorial guinea	0.0
bahrain	estonia	0.0
bahrain	ethiopia	0.0
bahrain	fiji	0.0
bahrain	finland	0.0
bahrain	france	5.714285714285714
bahrain	gabon	0.0
bahrain	germany	11.428571428571429
bahrain	ghana	0.0
bahrain	greece	0.0
bahrain	guadeloupe	0.0
bahrain	guatemala	0.0
bahrain	guinea	0.0
bahrain	haiti	0.0
bahrain	hong kong	2.857142857142857
bahrain	hungary	0.0
bahrain	iceland	0.0
bahrain	india	0.0
bahrain	indonesia	0.0
bahrain	iran	0.0
bahrain	iraq	0.0
bahrain	ireland	0.0
bahrain	israel	2.857142857142857
bahrain	italy	5.714285714285714
bahrain	jamaica	0.0
bahrain	japan	8.571428571428571
bahrain	jersey	0.0
bahrain	jordan	0.0
bahrain	kazakhstan	0.0
bahrain	kenya	0.0
bahrain	korea	0.0
bahrain	kosovo	0.0
bahrain	kuwait	0.0
bahrain	kyrgyzstan	0.0
bahrain	latvia	0.0
bahrain	lebanon	0.0
bahrain	libya	0.0
bahrain	lithuania	0.0
bahrain	luxembourg	0.0
bahrain	macau	0.0
bahrain	macedonia	0.0
bahrain	malaysia	0.0
bahrain	malta	0.0
bahrain	mauritius	0.0
bahrain	mexico	0.0
bahrain	moldova	0.0
bahrain	mongolia	0.0
bahrain	morocco	0.0
